model,scaling,N,cores,time
openmp,strong,1000000000,1,2.05414
openmp,strong,1000000000,2,2.03935
openmp,strong,1000000000,4,2.08507
openmp,strong,1000000000,8,2.0393
openmp,strong,1000000000,16,2.03368
mpi,strong,1000000000,1,2.19935
mpi,strong,1000000000,2,1.25475
mpi,strong,1000000000,4,0.732243
mpi,strong,1000000000,8,0.470508
hybrid,strong,1000000000,2,2.01267
hybrid,strong,1000000000,4,1.97748
hybrid,strong,1000000000,8,2.01243
hybrid,strong,1000000000,4,1.15278
hybrid,strong,1000000000,8,1.19133
hybrid,strong,1000000000,16,1.15848
hybrid,strong,1000000000,8,0.707889
hybrid,strong,1000000000,16,0.794401
hybrid,strong,1000000000,32,0.792117
cuda,strong,1000000000,1,
openmp,weak,250000000,1,0.324534
mpi,weak,250000000,1,0.281596
openmp,weak,500000000,2,0.838864
mpi,weak,500000000,2,0.38783
openmp,weak,1000000000,4,2.0091
mpi,weak,1000000000,4,0.708516
openmp,weak,2000000000,8,2.52948
mpi,weak,2000000000,8,1.38909
openmp,weak,4000000000,16,3.1238
